Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Government Non Autonomous College""))",Chrome 125.0.0.0,,,13-06-2024 11:16:57,13-06-2024 11:16:58,1.372s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Government Autonomous College""))",Chrome 125.0.0.0,,,13-06-2024 11:16:58,13-06-2024 11:17:00,1.527s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Aided Colleges""))",Chrome 125.0.0.0,,,13-06-2024 11:17:00,13-06-2024 11:17:01,0.867s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Aided Autonomous Colleges""))",Chrome 125.0.0.0,,,13-06-2024 11:17:01,13-06-2024 11:17:02,1.422s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Self Financing Autonomous Colleges""))",Chrome 125.0.0.0,,,13-06-2024 11:17:02,13-06-2024 11:17:04,1.355s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/h3_Affiliated Colleges""))",Chrome 125.0.0.0,,,13-06-2024 11:17:04,13-06-2024 11:17:05,1.160s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_MKU Approved Institutions""))",Chrome 125.0.0.0,,,13-06-2024 11:17:05,13-06-2024 11:17:05,0.555s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Government Non Autonomous College""))",Chrome 125.0.0.0,,,13-06-2024 11:17:05,13-06-2024 11:17:07,1.464s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Colleges Affiliated to MKU""))",Chrome 125.0.0.0,,,13-06-2024 11:17:07,13-06-2024 11:17:08,1.358s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Government Autonomous College""))",Chrome 125.0.0.0,,,13-06-2024 11:17:08,13-06-2024 11:17:09,0.776s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Aided Autonomous Colleges""))",Chrome 125.0.0.0,,,13-06-2024 11:17:09,13-06-2024 11:17:10,0.734s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Self Financing Colleges""))",Chrome 125.0.0.0,,,13-06-2024 11:17:10,13-06-2024 11:17:10,0.747s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_MKU College""))",Chrome 125.0.0.0,,,13-06-2024 11:17:10,13-06-2024 11:17:12,1.332s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Academics""))",Chrome 125.0.0.0,,,13-06-2024 11:17:12,13-06-2024 11:17:13,1.205s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Aided Colleges_1""))",Chrome 125.0.0.0,,,13-06-2024 11:17:13,13-06-2024 11:17:13,0.539s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Academics""))",Chrome 125.0.0.0,,,13-06-2024 11:17:13,13-06-2024 11:17:14,0.543s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Colleges affiliated to MKU (1)""))",Chrome 125.0.0.0,,,13-06-2024 11:17:14,13-06-2024 11:17:15,0.889s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Colleges Affiliated to MKU""))",Chrome 125.0.0.0,,,13-06-2024 11:17:15,13-06-2024 11:17:16,1.365s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Academics""))",Chrome 125.0.0.0,,,13-06-2024 11:17:16,13-06-2024 11:17:17,0.554s,PASSED
